2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : VALENTINO
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : JEAN PAUL GAULTIER
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : VERSACE
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : LA ROCHE-POSAY
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : LA ROCHE-POSAY
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-27 INFO  BaseClass:288 - Filtered product tile product name is : LACOSTE
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : JOOP!
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : JIL SANDER
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : JIL SANDER
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : JEAN PAUL GAULTIER
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : CALVIN KLEIN
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : JEAN PAUL GAULTIER
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : CAROLINA HERRERA
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-28 INFO  BaseClass:288 - Filtered product tile product name is : DAVIDOFF
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : RABANNE
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : RABANNE
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : RABANNE
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : ARMANI
2024-09-30 21-54-29 INFO  BaseClass:288 - Filtered product tile product name is : JEAN PAUL GAULTIER
2024-09-30 21-54-29 INFO  BaseClass:169 - Product filter Marke is visible
2024-09-30 21-54-29 INFO  BaseClass:249 - Clicked Product filter Marke
2024-09-30 21-54-30 INFO  BaseClass:169 - Product filter Marke 1916 is visible
2024-09-30 21-54-30 INFO  BaseClass:249 - Clicked Product filter Marke 1916
2024-09-30 21-54-31 INFO  ExcelReadWrite:43 - Excel data: 1916
2024-09-30 21-54-34 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-34 INFO  BaseClass:288 - Selected facet name is : 1916
2024-09-30 21-54-34 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-34 INFO  BaseClass:288 - Selected facet name is : Sale
2024-09-30 21-54-34 INFO  BaseClass:272 - Clicked Show Products button
2024-09-30 21-54-35 INFO  ParfumPageObjects:181 - Count of filtered products: 1
2024-09-30 21-54-35 INFO  BaseClass:169 - Filtered product listing is visible
2024-09-30 21-54-35 INFO  ParfumPageObjects:199 - Count of facet discount eyecatcher: 1
2024-09-30 21-54-35 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-35 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-35 INFO  ParfumPageObjects:218 - Count of filtered products: 1 and discount eyecatchers: 1 are matching
2024-09-30 21-54-35 INFO  BaseClass:169 - Product tile Marke is visible
2024-09-30 21-54-35 INFO  BaseClass:288 - Product tile Marke name is : 1916
2024-09-30 21-54-35 INFO  BaseClass:288 - Filtered product tile product name is : 1916
2024-09-30 21-54-35 INFO  BaseClass:169 - Clear filter button is visible
2024-09-30 21-54-36 INFO  BaseClass:249 - Clicked clear filter button
2024-09-30 21-54-37 INFO  BaseClass:200 - Filter facet is not visible
2024-09-30 21-54-37 INFO  BaseClass:305 - Page scrolled till Product overview headline
2024-09-30 21-54-37 INFO  BaseClass:169 - Product filter highlights is visible
2024-09-30 21-54-38 INFO  BaseClass:249 - Clicked Product filter highlights
2024-09-30 21-54-38 INFO  ExcelReadWrite:43 - Excel data: Sale
2024-09-30 21-54-38 INFO  BaseClass:169 - Product filter highlights Sale is visible
2024-09-30 21-54-39 INFO  BaseClass:249 - Clicked Product filter highlights Sale
2024-09-30 21-54-42 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-42 INFO  BaseClass:288 - Selected facet name is : Sale
2024-09-30 21-54-42 INFO  BaseClass:272 - Clicked Show Products button
2024-09-30 21-54-43 INFO  BaseClass:169 - Product facet Produktart is visible
2024-09-30 21-54-43 INFO  BaseClass:249 - Clicked product facet Produktart
2024-09-30 21-54-44 INFO  BaseClass:169 - Product facet Produktart EauDeParfum is visible
2024-09-30 21-54-44 INFO  BaseClass:249 - Clicked product facet Produktart EauDeParfum
2024-09-30 21-54-44 INFO  ExcelReadWrite:43 - Excel data: Eau de Parfum
2024-09-30 21-54-47 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-47 INFO  BaseClass:288 - Selected facet name is : Eau de Parfum
2024-09-30 21-54-47 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-47 INFO  BaseClass:288 - Selected facet name is : Sale
2024-09-30 21-54-48 INFO  BaseClass:272 - Clicked Show Products button
2024-09-30 21-54-49 INFO  ParfumPageObjects:181 - Count of filtered products: 48
2024-09-30 21-54-49 INFO  BaseClass:169 - Filtered product listing is visible
2024-09-30 21-54-49 INFO  ParfumPageObjects:199 - Count of facet discount eyecatcher: 46
2024-09-30 21-54-49 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-49 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
